Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
101,"Never Let Me Go","Kazuo Ishiguro","Ishiguro, Kazuo","","=\"1400078776\"","=\"9781400078776\"",5,3.85,"Vintage","Paperback",288,2006,2005,2021/04/12,2019/01/03,"literary, sci-fi","literary (#1), sci-fi (#1)",read,,,,1,1
102,"The Remains of the Day","Kazuo Ishiguro","Ishiguro, Kazuo","","=\"0679731725\"","=\"9780679731726\"",5,4.14,"Vintage","Paperback",258,1990,1989,2020/02/02,2018/01/01,"literary","literary (#2)",read,,,,1,1
103,"Klara and the Sun","Kazuo Ishiguro","Ishiguro, Kazuo","","=\"059331817X\"","=\"9780593318171\"",0,3.74,"Knopf","Hardcover",303,2021,2021,,2022/06/01,"to-read, sci-fi","to-read (#1), sci-fi (#2)",to-read,,,,0,0
104,"Station Eleven","Emily St. John Mandel","Mandel, Emily St. John","","=\"0804172447\"","=\"9780804172448\"",5,4.06,"Vintage","Paperback",333,2014,2014,2022/08/08,2020/01/01,"literary, sci-fi","literary (#3), sci-fi (#3)",read,,,,1,1
105,"Sea of Tranquility","Emily St. John Mandel","Mandel, Emily St. John","","=\"0593321448\"","=\"9780593321447\"",4,4.06,"Knopf","Hardcover",255,2022,2022,2023/03/14,2022/09/01,"literary, sci-fi","literary (#4), sci-fi (#4)",read,,,,1,1
106,"The Left Hand of Darkness","Ursula K. Le Guin","Le Guin, Ursula K.","","=\"0441478123\"","=\"9780441478125\"",5,4.09,"Ace","Paperback",304,1969,1969,2017/07/07,2016/01/01,"sci-fi","sci-fi (#5)",read,,,,1,1
107,"The Dispossessed","Ursula K. Le Guin","Le Guin, Ursula K.","","=\"0061054887\"","=\"9780061054884\"",5,4.23,"Harper Voyager","Paperback",387,1994,1974,2018/11/11,2017/01/01,"sci-fi","sci-fi (#6)",read,,,,1,1
108,"A Wizard of Earthsea","Ursula K. Le Guin","Le Guin, Ursula K.","","=\"0547773749\"","=\"9780547773742\"",0,4.01,"Clarion","Paperback",205,2012,1968,,2024/01/20,"to-read, fantasy","to-read (#2), fantasy (#1)",to-read,,,,0,0
109,"Exhalation","Ted Chiang","Chiang, Ted","","=\"1101947886\"","=\"9781101947883\"",5,4.28,"Knopf","Hardcover",368,2019,2019,2021/01/19,2020/05/05,"sci-fi, short-stories","sci-fi (#7), short-stories (#1)",read,,,,1,1
110,"Stories of Your Life and Others","Ted Chiang","Chiang, Ted","","=\"1101972120\"","=\"9781101972120\"",5,4.28,"Vintage","Paperback",281,2016,2002,2019/06/06,2018/02/02,"sci-fi, short-stories","sci-fi (#8), short-stories (#2)",read,,,,1,1
